URL;Start Time;End Time;Response Time;Latency;Status Code
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:38.907Z;2023-12-08T13:50:40.280Z;1.37s;1.37s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:38.906Z;2023-12-08T13:50:40.281Z;1.38s;1.38s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:38.908Z;2023-12-08T13:50:40.293Z;1.39s;1.39s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:38.908Z;2023-12-08T13:50:40.305Z;1.40s;1.40s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:38.901Z;2023-12-08T13:50:40.607Z;1.71s;1.71s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:41.609Z;2023-12-08T13:50:42.962Z;1.35s;1.35s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:41.611Z;2023-12-08T13:50:42.963Z;1.35s;1.35s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:41.610Z;2023-12-08T13:50:42.978Z;1.37s;1.37s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:41.607Z;2023-12-08T13:50:42.984Z;1.38s;1.38s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:41.608Z;2023-12-08T13:50:42.985Z;1.38s;1.38s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:41.615Z;2023-12-08T13:50:42.994Z;1.38s;1.38s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:41.614Z;2023-12-08T13:50:43.009Z;1.40s;1.40s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:41.611Z;2023-12-08T13:50:43.019Z;1.41s;1.41s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:41.612Z;2023-12-08T13:50:43.022Z;1.41s;1.41s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:41.613Z;2023-12-08T13:50:43.023Z;1.41s;1.41s;201
